data;
param M := 1000000;
param eps := 1e-15;

set CIUDADES:= 0 1 2 3 4 5 6 7 8 9 10 11 12 ;
param DISTANCIA :0 1 2 3 4 5 6 7 8 9 10 11 12 :=

 0 . 4.726653149957165624e+03 1.204349201851356838e+03 6.362502102160752656e+03 3.656991249647720906e+03 3.129520889848795832e+03 2.413522322250200432e+03 5.623041881401916271e+02 4.620822437618654135e+02 5.653503338638794958e+03 1.712356563336036061e+03 1.603566337885651592e+03 2.367197710374019607e+03
 1 4.726653149957165624e+03 . 3.587423169909008720e+03 2.011662247992937864e+03 1.841400825458704958e+03 6.976770671306317126e+03 6.500002769230179183e+03 5.186866877027016926e+03 5.027708225424383272e+03 2.326835189694362725e+03 4.147823646202909913e+03 4.722743376470925796e+03 3.634917468113959785e+03
 2 1.204349201851356838e+03 3.587423169909008720e+03 . 5.162027702366580343e+03 2.457865740841024945e+03 3.677395817694907691e+03 3.070360402298075314e+03 1.741999138920567930e+03 1.443587544972593605e+03 4.461989354536830433e+03 1.183624940595626413e+03 1.519961183714900017e+03 1.497155970498731904e+03
 3 6.362502102160752656e+03 2.011662247992937864e+03 5.162027702366580343e+03 . 2.798672899786611197e+03 8.063717380960222727e+03 7.726785165901793334e+03 6.877268716576370934e+03 6.580345355678529813e+03 1.401707886829492054e+03 5.365604718948275149e+03 5.945987554645569617e+03 4.678986428704404716e+03
 4 3.656991249647720906e+03 1.841400825458704958e+03 2.457865740841024945e+03 2.798672899786611197e+03 . 5.329472018877667324e+03 4.945934188805993472e+03 4.199864878778839739e+03 3.823602620566106907e+03 2.011199890612566605e+03 2.572632892583005287e+03 3.156119452745729177e+03 1.923090221492481078e+03
 5 3.129520889848795832e+03 6.976770671306317126e+03 3.677395817694907691e+03 8.063717380960222727e+03 5.329472018877667324e+03 . 7.428250130414295427e+02 3.208387289589584270e+03 2.669162602765144584e+03 6.928296832555603032e+03 2.830106711769010417e+03 2.265697685040967826e+03 3.406502605312375181e+03
 6 2.413522322250200432e+03 6.500002769230179183e+03 3.070360402298075314e+03 7.726785165901793334e+03 4.945934188805993472e+03 7.428250130414295427e+02 . 2.467299738580620669e+03 1.951457404095718402e+03 6.672586455041253430e+03 2.379732127782452608e+03 1.794353644073542227e+03 3.050484059948519189e+03
 7 5.623041881401916271e+02 5.186866877027016926e+03 1.741999138920567930e+03 6.877268716576370934e+03 4.199864878778839739e+03 3.208387289589584270e+03 2.467299738580620669e+03 . 7.178983214912819903e+02 6.202368096138764486e+03 2.240413577891367822e+03 2.050414836075860876e+03 2.919814548905460924e+03
 8 4.620822437618654135e+02 5.027708225424383272e+03 1.443587544972593605e+03 6.580345355678529813e+03 3.823602620566106907e+03 2.669162602765144584e+03 1.951457404095718402e+03 7.178983214912819903e+02 . 5.788323764268892774e+03 1.601480877188360409e+03 1.342544226459597894e+03 2.329674870019419814e+03
 9 5.653503338638794958e+03 2.326835189694362725e+03 4.461989354536830433e+03 1.401707886829492054e+03 2.011199890612566605e+03 6.928296832555603032e+03 6.672586455041253430e+03 6.202368096138764486e+03 5.788323764268892774e+03 . 4.391467294652209603e+03 4.946120196679413311e+03 3.647939281292932719e+03
 10 1.712356563336036061e+03 4.147823646202909913e+03 1.183624940595626413e+03 5.365604718948275149e+03 2.572632892583005287e+03 2.830106711769010417e+03 2.379732127782452608e+03 2.240413577891367822e+03 1.601480877188360409e+03 4.391467294652209603e+03 . 5.854314648188974388e+02 7.650281040589293298e+02
 11 1.603566337885651592e+03 4.722743376470925796e+03 1.519961183714900017e+03 5.945987554645569617e+03 3.156119452745729177e+03 2.265697685040967826e+03 1.794353644073542227e+03 2.050414836075860876e+03 1.342544226459597894e+03 4.946120196679413311e+03 5.854314648188974388e+02 . 1.298341249440993352e+03
 12 2.367197710374019607e+03 3.634917468113959785e+03 1.497155970498731904e+03 4.678986428704404716e+03 1.923090221492481078e+03 3.406502605312375181e+03 3.050484059948519189e+03 2.919814548905460924e+03 2.329674870019419814e+03 3.647939281292932719e+03 7.650281040589293298e+02 1.298341249440993352e+03 .
;

end;
